Title,Link,PublishDate
"DAC6 – Extension to the imposition of administrative fines for overdue submission of information ",http://www.mof.gov.cy/mof/tax/taxdep.nsf/All/B0B04B793192A15CC22587950031F48F?OpenDocument,22/11/2021 08:07:06
"DAC6_Extension to the imposition of administrative fines for overdue submission of information ",http://www.mof.gov.cy/mof/tax/taxdep.nsf/All/6AF119F594D7ED03C22587570028BD1B?OpenDocument,08/10/2021 08:17:10
"Clarification Bilateral Agreement between Cyprus and the United States ",http://www.mof.gov.cy/mof/tax/taxdep.nsf/All/2FC00AAB4608A528C225876800293E9E?OpenDocument,08/10/2021 07:31:11
"DAC6 – Directive of the Council of EU on mandatory disclosure and exchange of information on cross-border arrangements - Use of the existing XML Schema UNTIL August 3, 2021 ",http://www.mof.gov.cy/mof/tax/taxdep.nsf/All/30878910286E1B9DC225872200255CF4?OpenDocument,30/07/2021 06:49:15
"DAC6 – Directive of the Council of EU on mandatory disclosure and exchange of information on cross-border arrangements - Updated XML Schema from 5th August 2021 ",http://www.mof.gov.cy/mof/tax/taxdep.nsf/All/561B4BD32E72FA6FC2258721002D498E?OpenDocument,29/07/2021 08:18:51
"EU Taxpayers’ Rights_Public consultation ",http://www.mof.gov.cy/mof/tax/taxdep.nsf/All/7022610CBA0A472BC22586BE0025DA67?OpenDocument,21/04/2021 06:56:46
10year GOVERNMENT BOND ΥIELD RATEof Chile as at 31.12.2020 and 31.12.2019,http://www.mof.gov.cy/mof/tax/taxdep.nsf/All/37247929AD0D0F10C22586B1002372DA?OpenDocument,08/04/2021 06:28:16
"ΤΙΝ field for FATCA XML Schema Addition of a new code: 777777777 ",http://www.mof.gov.cy/mof/tax/taxdep.nsf/All/98A7E9A347110263C22586B000341F83?OpenDocument,07/04/2021 11:31:49
"10year Government Bond Yield Ratesas at 31.12.2020 ",http://www.mof.gov.cy/mof/tax/taxdep.nsf/All/8493C4A021122345C225867A003739C0?OpenDocument,12/02/2021 09:04:20
"DAC6_Extension to the submission of information ",http://www.mof.gov.cy/mof/tax/taxdep.nsf/All/1222C16C4F5DAC40C2258671002A9995?OpenDocument,03/02/2021 06:53:54
"The systems for FATCA/ DAC2/CRS and CBCR/DAC4 will not be available - new data specifications for data submission ",http://www.mof.gov.cy/mof/tax/taxdep.nsf/All/E521BBECEBF5CE21C2258661002625D6?OpenDocument,18/01/2021 07:15:28
"Brexit_On-going movements of goods from the United Kingdom to the Republic at the moment of its withdrawal on 31.12.2020 ",http://www.mof.gov.cy/mof/tax/taxdep.nsf/All/D25CA3B16F07358AC2258656003164F1?OpenDocument,07/01/2021 08:22:18
Brexit_ VAT Refunds undre Directive 2008/9 (refunds to taxable persons in other member states) for business expenses incurred in the United kingdom,http://www.mof.gov.cy/mof/tax/taxdep.nsf/All/C1DDFA071DC65645C225865600318280?OpenDocument,07/01/2021 08:21:29
BREXIT: End of Transition Period for the United Kingdom_Protocol on Ireland/Northern Ireland and Intrastat Declarations,http://www.mof.gov.cy/mof/tax/taxdep.nsf/All/A82B1C089D158006C2258645003DF2E1?OpenDocument,21/12/2020 10:21:52
"BREXIT: End of Transition Period for the United Kingdom_Protocol on Ireland/Northern Ireland and Recapitulative Statements VIES ",http://www.mof.gov.cy/mof/tax/taxdep.nsf/All/E6BE0F612E8743AEC225864200351CA6?OpenDocument,18/12/2020 08:42:22
Extension to the deadline for filling CbCR,http://www.mof.gov.cy/mof/tax/taxdep.nsf/All/EB6034BDBC6A78C0C225863F002A9D5F?OpenDocument,15/12/2020 06:52:51
"Submission of Income Tax Return for Individuals 2019 ",http://www.mof.gov.cy/mof/tax/taxdep.nsf/All/3C361E4A76AD5367C22585EA003C3EBB?OpenDocument,21/09/2020 10:58:44
Clarification Bilateral Agreement between Cyprus and the United States,http://www.mof.gov.cy/mof/tax/taxdep.nsf/All/6062F1F72517387DC22585D900386524?OpenDocument,04/09/2020 10:16:45
Ten-Year Government Bond΄s Yield Rates as at 31/12/2019,http://www.mof.gov.cy/mof/tax/taxdep.nsf/All/49A2A992D9734AB1C22585D900256256?OpenDocument,04/09/2020 06:50:35
"10year Goverment Bond Yield Rates as at 31.12.2019 ",http://www.mof.gov.cy/mof/tax/taxdep.nsf/All/3AD5BE8C3890773AC225850C0041A718?OpenDocument,12/02/2020 10:58:31
"Exit of UK from the EU with an Agreement in place - period 1/2/2020-31/12/2021 ",http://www.mof.gov.cy/mof/tax/taxdep.nsf/All/133425A2220ABB13C2258507003E7DE9?OpenDocument,07/02/2020 10:23:22
"Withdrawal of the United Kingdom from the EU and on-going movements of goods from the United Kingdom to the Republic as from 1.1.2021 ",http://www.mof.gov.cy/mof/tax/taxdep.nsf/All/AD143E8EEC12B365C2258507003E6343?OpenDocument,07/02/2020 10:22:31
" VAT Refunds undre Directive 2008/9 (refunds to taxable persons in other MS) for Business Expenses Incurred in the United Kindom during 2019 and 2020 ",http://www.mof.gov.cy/mof/tax/taxdep.nsf/All/CDE7FDFEE2E08490C2258507003E0917?OpenDocument,07/02/2020 10:21:14
"Exit of theUnited Kingdom from the EU with a Withdrawal Aggreement and Recapitulative Statements  (VIES) ",http://www.mof.gov.cy/mof/tax/taxdep.nsf/All/2476C46801CE0009C225850300364558?OpenDocument,03/02/2020 10:24:58
Exit of theUnited Kingdom from the EU with a Withdrawal Aggreement and  INTRASTAT Declarations,http://www.mof.gov.cy/mof/tax/taxdep.nsf/All/6177B7EDFD715C04C225850300375436?OpenDocument,03/02/2020 09:05:20
CbCR_Extension to the Deadline Submission of Country by Country Reporting,http://www.mof.gov.cy/mof/tax/taxdep.nsf/All/87A8FBC636E9ED4BC22584D60040C4A6?OpenDocument,20/12/2019 11:14:07
"Clarification for Bilateral Agreement between Cyprus and the United States ",http://www.mof.gov.cy/mof/tax/taxdep.nsf/All/10BBE058268197CCC22584A3003EA622?OpenDocument,30/10/2019 10:27:20
"System not available for FATCA, CRS/DAC2 and CbCR/DAC4",http://www.mof.gov.cy/mof/tax/taxdep.nsf/All/424510934AB87DE7C22584970031555D?OpenDocument,18/10/2019 09:00:15
Implementation of  FATCA agreement – ‘Accidental Americans’,http://www.mof.gov.cy/mof/tax/taxdep.nsf/All/BC3076153EDB66A3C22584870030AE7A?OpenDocument,02/10/2019 09:01:04
"Process of negotiating a bilateral Competent Authority Arrangement (CAA) for the exchange of Country-by-Country Reports between Cyprus and the United States of America ",http://www.mof.gov.cy/mof/tax/taxdep.nsf/All/BA10E774B98C79CEC225841F0023D026?OpenDocument,20/06/2019 06:33:37
"Exit of United Kingdom from the European Union without an Agreement ",http://www.mof.gov.cy/mof/tax/taxdep.nsf/All/DA21AA87208D501BC22583C40041DAC2?OpenDocument,08/05/2019 06:25:51
"Externsion to the Deadline Submission of  Income Tax Return 2017  for Companies and Self Employed with Accounts ",http://www.mof.gov.cy/mof/tax/taxdep.nsf/All/8B0887F368001584C22583CA002FE1D7?OpenDocument,08/05/2019 06:25:51
"Withdrawalof United Kingdom from the European Union and Declaration of Recapitulative Statement (VIES) ",http://www.mof.gov.cy/mof/tax/taxdep.nsf/All/B8FD74BC581B0465C22583D0002B5044?OpenDocument,08/05/2019 06:25:51
Exit of United Kingdom from the European Union and Reporting Requirements for Submission of Intrastat Declarations,http://www.mof.gov.cy/mof/tax/taxdep.nsf/All/F8F19ECB43FC73F4C22583D0002B899E?OpenDocument,08/05/2019 06:25:51
"Extension for the submission of Income Tax Return 2017 for Banks and other Financial/Credit Institutions ",http://www.mof.gov.cy/mof/tax/taxdep.nsf/All/8591C77E8D55F69DC22583710043D93A?OpenDocument,08/05/2019 06:25:50
"Withdrawal of the United Kingdom from the EU and Recapitulative Statements (VIES) ",http://www.mof.gov.cy/mof/tax/taxdep.nsf/All/2FF4F235A31B4D65C22583AF002DDC3B?OpenDocument,08/05/2019 06:25:50
"Withdrawal of the United Kingdom from the EU and Intrastat Declarations  ",http://www.mof.gov.cy/mof/tax/taxdep.nsf/All/CA1D73FCC04B76AAC22583AF002E3357?OpenDocument,08/05/2019 06:25:50
"Income Tax Return Company and Self Employeed (with Accounts) 2017 ",http://www.mof.gov.cy/mof/tax/taxdep.nsf/All/0E22BFA7595EAEDDC22583B70043D671?OpenDocument,08/05/2019 06:25:50
Sumbission of Income Tax Return 2018 for Individuals,http://www.mof.gov.cy/mof/tax/taxdep.nsf/All/89FF92A55CA0444DC22583C10035D6C5?OpenDocument,08/05/2019 06:25:50
"Reminder for failure to submit  the VAT Tax Return ",http://www.mof.gov.cy/mof/tax/taxdep.nsf/All/12A9B0DFCB76CC10C2258301003C2F41?OpenDocument,08/05/2019 06:25:48
"VAT Refund with Bank Transfer ",http://www.mof.gov.cy/mof/tax/taxdep.nsf/All/2FF8D24E5DD49B79C2258301003C40D9?OpenDocument,08/05/2019 06:25:48
"Clarification for CbCR/DAC4 Οbligations ",http://www.mof.gov.cy/mof/tax/taxdep.nsf/All/683C696B96062B67C225830D0034BE80?OpenDocument,08/05/2019 06:25:48
